Biomass,Yield
7137.718092093945,3443.722
6122.0031169571075,2957.143
4390.591084592969,2126.131
7433.790548007541,3602.151
2481.1239761755082,1204.545
5597.88381571905,2719.34
3681.4686926433224,1791.378
7793.9898521540445,3793.829
6355.978024073461,3099.909
9021.877371750039,4454.118
2967.3781464196727,1473.235
4963.491343102947,2493.529
7565.7512825804615,3838.235
3220.260572833683,1642.776
6668.736459723833,3413.102
7159.973570966085,3675.75
4689.039300011909,2665.724
6031.830393545341,3513.692
6402.136592981078,3764.706
6067.863748469047,3612.692
5224.787798930639,3118.668
4981.165581490407,2978.345
1701.388888888889,816.6666666666666
1346.9601677148846,713.8888888888889
1613.2478632478633,838.8888888888889
2465.277777777778,1183.3333333333333
1944.4444444444443,952.7777777777777
2186.761229314421,1027.7777777777778
2123.456790123457,955.5555555555555
1893.9393939393938,833.3333333333333
1613.4751773049647,758.3333333333334
2753.0864197530864,1238.888888888889
2947.1544715447153,1208.3333333333333
2475.3086419753085,1113.888888888889
2193.2870370370374,1052.7777777777778
2927.3504273504273,1141.6666666666667
2756.9444444444443,1102.7777777777778
2485.7549857549857,969.4444444444445
2807.807807807808,1038.888888888889
2478.6324786324785,966.6666666666666
2539.6825396825398,1066.6666666666667
2506.1728395061727,1127.7777777777778
2548.611111111111,1019.4444444444445
2436.5079365079364,852.7777777777777
2111.111111111111,844.4444444444445
2582.5825825825827,955.5555555555555
2280.361757105943,980.5555555555555
2198.581560283688,1033.3333333333333
2191.358024691358,986.1111111111111
2416.0206718346253,1038.888888888889
2174.9408983451535,1022.2222222222222
2159.090909090909,950
2044.9172576832152,961.1111111111111
2222.222222222222,955.5555555555555
2358.0246913580245,1061.111111111111
2319.8198198198197,858.3333333333333
2745.0980392156857,933.3333333333333
2507.716049382716,902.7777777777777
2819.8653198653196,930.5555555555555
2425.4742547425476,994.4444444444445
2384.259259259259,858.3333333333333
2388.8888888888887,716.6666666666666
2583.3333333333335,775
2410.7142857142853,675
2370.3703703703704,711.1111111111111
2718.8552188552185,897.2222222222222
2365.9003831417626,686.1111111111111
2555.5555555555557,638.8888888888889
2529.7619047619046,708.3333333333334
2420.63492063492,677.7777777777777
6347,2094.51
5434,1467.18
3656,1023.6800000000001
3686,700.34
7627.272727272727,2517
5712.19512195122,2342
2296.72131147541,1401
3603.846153846154,1874
4757,2166
5538,2544
4104,1754
3196,1434
4505,2075
3930,1690
3942,1681
5217,2453
2904.109589041096,2120
3080,2310
2815.7894736842104,2140
2319.4444444444443,1670
3552.6315789473683,2700
2424.6575342465753,1770
3054.054054054054,2260
3328.9473684210525,2530
8431,3465
7070,3552
7039,2926
8462,4091
7831,3426
7670,3591
3131,852
4181,1644
3257,1490
3834,1795
3189,1077
4394,2129
3442,1667
4283,2127
1188,476.8
852,354.2
1477,554.2
2008,697.3
4571.935483870968,1417.3
4398.000000000001,1319.4
3233.076923076923,840.6
3423.9130434782605,787.5
4138.928571428572,1158.9
3623.846153846154,942.2
3921.111111111111,1058.7
4154.827586206897,1204.9
3290.458754,1861.5701330000002
8484.479365,2710.385544
6175.833785,4303.5383329999995
7425.76331,3299.617716
4906.157021999999,3441.328865
4832.084568,2548.7628189999996
4349.138402,4009.287897
8467.108884000001,3811.600015
6530.754849,2038.0160749999998
7513.736574,3424.956984
6388.81652,4347.465822
5751.631944,2247.440712
5218.379946,2978.683841
3822.278935,3597.497563
6160.3764249999995,3785.5275490000004
6038.034722,3551.7271849999997
6106.117824000001,5178.412123
6678.1338080000005,4882.784117
4748.936296,4661.7975400000005
4517.933333,4412.2011680000005
7502.57471,4117.755639
4310.960648,3881.079265
4432.614352,4629.611242
4938.045139,5303.136837
7723.204028,3959.920635
5004.3854169999995,3564.347304
5039.115741,1776.48213
11124.560730000001,1273.184677
6838.851423,1395.045138
5650.126543,3021.425802
6627.120370000001,3432.63722
4996.106481,2992.7496589999996
4630.526234999999,2526.9468110000003
4979.296296,2744.87862
6933.497735,813.5363239999999
7441.854938,4153.142477
6331.404321,3424.4392239999997
6472.853851,1472.180404
6764.277778,2921.62286
6130.1450620000005,3894.280682
8141.175926,3160.763572
6232.785494,2992.9858999999997
6716.688272,3698.098782
6880.307099000001,4566.760195
5524.3256169999995,4095.5937569999996
7931.438272,4212.284504
6553.811728,4402.121107
6038.675926,4966.0544
6047.3919750000005,4301.595777
5819.575617,4657.422629
6803.055556,3504.8101850000003
6679.242284,2812.02846
5271.428571428571,738
4885.714285714284,1367.9999999999998
3600,396
3664.2857142857138,1026
3200,288
2781.818181818182,612
5357.142857142857,1500
5947.368421052632,2260
6514.285714285715,2280
6302.325581395349,2710
5076.923076923077,2640
5102.040816326531,2500
4119.047619047619,1730
4770.833333333334,2290
5280,2640
5489.36170212766,2580
4365.8536585365855,1790
5086.95652173913,2340
5200,2600
5041.666666666667,2420
4170.731707317073,1710
4891.304347826087,2250
6132,3351
6261,3321
7451,3932
8800,4752
6160,3167
6578,3447
7567,4069
6250,3238
6830,3463
6473,3372
6763,3564
7421,4115
7845,4480
9178,5300
7898,4072
7734,4216
8844,4629
8881,4608
8726,4619
6600,3811
6497,2404
7182,2801
10065,3422
9306,3257
8936,2234
6791,2309
8634,3281
8576,2830
9087,2998
7831,2036
6568,2430
7462,2763
8311,2826
8140,2685
8925,2142
5673,2099
6124,2511
6485,2267
5868,1995
7404,1999
2865,888
3146,1101
3437,928
2679,777
4289,1158
5215,2034
5719,2345
6647,2260
7942,2623
7943,2780
6228,2242
7410,2964
8336,2753
8128,2032
8874,2751
6692,2476
7703,2773
8496,2294
6684,1671
8721,2878
5276,1530
5900,2065
7083,2479
6900,2345
7794,2806
4463,1696
4733,1893
6103,2136
5520,1656
6589,2372
6698.245614035089,3818
5951.785714285714,3333
7471.9298245614045,4259
8378.260869565216,3854
6670.212765957447,3135
7445.454545454545,2457
5768.517978444727,2495.485735378002
